Country,Year,InjuriesPerMillion
Italy,2003,6210
Italy,2002,6630
Italy,2001,6551
Italy,2000,6322
Japan,2004,9270
Japan,2003,9259
Japan,1969,9431
Japan,1968,8172
Japan,1967,6541
Japan,1966,5228
Japan,1979,5134
Japan,1978,5158
Japan,1977,5196
Japan,1976,5429
Japan,1975,5561
Japan,1974,5891
Japan,1973,7240
Japan,1972,8264
Japan,1971,9032
Japan,1970,9459
Japan,2002,9166
Japan,2001,9278
Japan,2000,9105
Japan,1999,8291
Japan,1998,7832
Japan,1997,7601
Japan,1996,7486
Japan,1995,7348
Japan,1994,7052
Japan,1993,7042
Japan,1992,6782
Japan,1991,6532
Japan,1990,6393
Japan,1989,6614
Japan,1988,6133
Japan,1987,5908
Japan,1986,5855
Japan,1985,5629
Japan,1984,5356
Japan,1983,5478
Japan,1982,5274
Japan,1981,5151
Japan,1980,5115
Japan,2023,2921.5
Japan,2022,2854
Japan,2021,2885.5
Japan,2020,2929
Japan,2019,3652
Japan,2018,4158.8
Japan,2017,4584.2
Japan,2016,4875.4
Japan,2015,5240
Japan,2014,5598
Japan,2013,6139
Japan,2012,6473
Japan,2011,6687
Japan,2010,6999
Japan,2009,7146
Japan,2008,7406
Japan,2007,8098
Japan,2006,8598
Korea,1998,7335
Korea,1997,7461
Korea,1963,273
Korea,1962,245
Korea,1961,280
Korea,1960,350
Korea,1973,1418
Korea,1972,1419
Korea,1971,1611
Korea,1970,1328
Korea,1969,1217
Korea,1968,972
Korea,1967,833
Korea,1966,637
Korea,1965,529
Korea,1964,345
Korea,1996,7816
Korea,1995,7357
Korea,1994,7860
Korea,1993,7641
Korea,1992,7451
Korea,1991,7659
Korea,1990,7565
Korea,1989,7677
Korea,1988,6846
Korea,1987,5351
Korea,1986,4701
Korea,1985,4520
Korea,1984,4217
Korea,1983,3823
Korea,1982,3321
Korea,1981,2977
Korea,1980,2928
Korea,1979,2823
Korea,1978,2474
Korea,1977,2118
Korea,1976,1831
Korea,1975,1732
Korea,1974,1385
Korea,2021,5627
Korea,2020,5913
Korea,2019,6608
Korea,2018,6256
Korea,2017,6275
Korea,2016,6530
Korea,2015,6923
Korea,2014,6693
Korea,2013,6545
Korea,2012,6891
Korea,2011,6858
